n_subjects,seed,rule,model,apcer,bpcer,acer,accuracy,roc_auc
4,31718,min_acer,B1_static2d,0.25,0.25,0.25,0.75,0.8359375
4,31718,min_acer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,31718,min_acer_mid,B1_static2d,0.25,0.25,0.25,0.75,0.8359375
4,31718,min_acer_mid,M1_pls,0.0,0.0,0.0,1.0,1.0
4,31718,eer,B1_static2d,0.1875,0.25,0.21875,0.7916666666666666,0.8359375
4,31718,eer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,31718,class_midpoint,B1_static2d,0.0625,0.25,0.15625,0.875,0.8359375
4,31718,class_midpoint,M1_pls,0.0,0.0,0.0,1.0,1.0
4,31718,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.8359375
4,31718,fixed_zero,M1_pls,0.0,0.0,0.0,1.0,1.0
4,39637,min_acer,B1_static2d,0.0625,0.125,0.09375,0.9166666666666666,0.890625
4,39637,min_acer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,39637,min_acer_mid,B1_static2d,0.0625,0.125,0.09375,0.9166666666666666,0.890625
4,39637,min_acer_mid,M1_pls,0.0,0.0,0.0,1.0,1.0
4,39637,eer,B1_static2d,0.0625,0.125,0.09375,0.9166666666666666,0.890625
4,39637,eer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,39637,class_midpoint,B1_static2d,0.0,0.25,0.125,0.9166666666666666,0.890625
4,39637,class_midpoint,M1_pls,0.0,0.0,0.0,1.0,1.0
4,39637,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.890625
4,39637,fixed_zero,M1_pls,0.0,0.0,0.0,1.0,1.0
4,47556,min_acer,B1_static2d,0.0,0.25,0.125,0.9166666666666666,0.84375
4,47556,min_acer,M1_pls,0.25,0.125,0.1875,0.7916666666666666,0.9453125
4,47556,min_acer_mid,B1_static2d,0.0,0.25,0.125,0.9166666666666666,0.84375
4,47556,min_acer_mid,M1_pls,0.25,0.125,0.1875,0.7916666666666666,0.9453125
4,47556,eer,B1_static2d,0.0625,0.25,0.15625,0.875,0.84375
4,47556,eer,M1_pls,0.25,0.25,0.25,0.75,0.9453125
4,47556,class_midpoint,B1_static2d,0.0625,0.25,0.15625,0.875,0.84375
4,47556,class_midpoint,M1_pls,0.125,0.125,0.125,0.875,0.9453125
4,47556,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.84375
4,47556,fixed_zero,M1_pls,0.25,0.0,0.125,0.8333333333333334,0.9453125
4,55475,min_acer,B1_static2d,0.125,0.25,0.1875,0.8333333333333334,0.875
4,55475,min_acer,M1_pls,0.4375,0.25,0.34375,0.625,0.9296875
4,55475,min_acer_mid,B1_static2d,0.125,0.25,0.1875,0.8333333333333334,0.875
4,55475,min_acer_mid,M1_pls,0.4375,0.25,0.34375,0.625,0.9296875
4,55475,eer,B1_static2d,0.125,0.25,0.1875,0.8333333333333334,0.875
4,55475,eer,M1_pls,0.125,0.25,0.1875,0.8333333333333334,0.9296875
4,55475,class_midpoint,B1_static2d,0.0,0.25,0.125,0.9166666666666666,0.875
4,55475,class_midpoint,M1_pls,0.0,0.375,0.1875,0.875,0.9296875
4,55475,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.875
4,55475,fixed_zero,M1_pls,0.0625,0.25,0.15625,0.875,0.9296875
4,63394,min_acer,B1_static2d,0.125,0.25,0.1875,0.8333333333333334,0.859375
4,63394,min_acer,M1_pls,0.1875,0.25,0.21875,0.7916666666666666,0.96875
4,63394,min_acer_mid,B1_static2d,0.125,0.25,0.1875,0.8333333333333334,0.859375
4,63394,min_acer_mid,M1_pls,0.1875,0.25,0.21875,0.7916666666666666,0.96875
4,63394,eer,B1_static2d,0.0625,0.25,0.15625,0.875,0.859375
4,63394,eer,M1_pls,0.1875,0.25,0.21875,0.7916666666666666,0.96875
4,63394,class_midpoint,B1_static2d,0.0,0.25,0.125,0.9166666666666666,0.859375
4,63394,class_midpoint,M1_pls,0.0,0.5,0.25,0.8333333333333334,0.96875
4,63394,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.859375
4,63394,fixed_zero,M1_pls,0.0625,0.25,0.15625,0.875,0.96875
4,71313,min_acer,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.875
4,71313,min_acer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,71313,min_acer_mid,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.875
4,71313,min_acer_mid,M1_pls,0.0,0.0,0.0,1.0,1.0
4,71313,eer,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.875
4,71313,eer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,71313,class_midpoint,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.875
4,71313,class_midpoint,M1_pls,0.0,0.0,0.0,1.0,1.0
4,71313,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.875
4,71313,fixed_zero,M1_pls,0.0,0.0,0.0,1.0,1.0
4,79232,min_acer,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.8515625
4,79232,min_acer,M1_pls,0.5,0.5,0.5,0.5,0.828125
4,79232,min_acer_mid,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.8515625
4,79232,min_acer_mid,M1_pls,0.5,0.5,0.5,0.5,0.828125
4,79232,eer,B1_static2d,0.0625,0.125,0.09375,0.9166666666666666,0.8515625
4,79232,eer,M1_pls,0.3125,0.25,0.28125,0.7083333333333334,0.828125
4,79232,class_midpoint,B1_static2d,0.0,0.375,0.1875,0.875,0.8515625
4,79232,class_midpoint,M1_pls,0.0,0.75,0.375,0.75,0.828125
4,79232,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.8515625
4,79232,fixed_zero,M1_pls,0.1875,0.5,0.34375,0.7083333333333334,0.828125
4,87151,min_acer,B1_static2d,0.125,0.375,0.25,0.7916666666666666,0.75
4,87151,min_acer,M1_pls,0.75,0.0,0.375,0.5,0.8046875
4,87151,min_acer_mid,B1_static2d,0.125,0.375,0.25,0.7916666666666666,0.75
4,87151,min_acer_mid,M1_pls,0.75,0.0,0.375,0.5,0.8046875
4,87151,eer,B1_static2d,0.125,0.375,0.25,0.7916666666666666,0.75
4,87151,eer,M1_pls,0.25,0.5,0.375,0.6666666666666666,0.8046875
4,87151,class_midpoint,B1_static2d,0.0625,0.375,0.21875,0.8333333333333334,0.75
4,87151,class_midpoint,M1_pls,0.0,0.75,0.375,0.75,0.8046875
4,87151,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.75
4,87151,fixed_zero,M1_pls,0.25,0.5,0.375,0.6666666666666666,0.8046875
4,95070,min_acer,B1_static2d,0.0,0.375,0.1875,0.875,0.8671875
4,95070,min_acer,M1_pls,0.1875,0.5,0.34375,0.7083333333333334,0.953125
4,95070,min_acer_mid,B1_static2d,0.0,0.375,0.1875,0.875,0.8671875
4,95070,min_acer_mid,M1_pls,0.1875,0.5,0.34375,0.7083333333333334,0.953125
4,95070,eer,B1_static2d,0.125,0.125,0.125,0.875,0.8671875
4,95070,eer,M1_pls,0.125,0.25,0.1875,0.8333333333333334,0.953125
4,95070,class_midpoint,B1_static2d,0.0,0.375,0.1875,0.875,0.8671875
4,95070,class_midpoint,M1_pls,0.0,0.75,0.375,0.75,0.953125
4,95070,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.8671875
4,95070,fixed_zero,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.953125
4,102989,min_acer,B1_static2d,0.0,0.0,0.0,1.0,1.0
4,102989,min_acer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,102989,min_acer_mid,B1_static2d,0.0,0.0,0.0,1.0,1.0
4,102989,min_acer_mid,M1_pls,0.0,0.0,0.0,1.0,1.0
4,102989,eer,B1_static2d,0.0,0.0,0.0,1.0,1.0
4,102989,eer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,102989,class_midpoint,B1_static2d,0.0,0.0,0.0,1.0,1.0
4,102989,class_midpoint,M1_pls,0.0,0.125,0.0625,0.9583333333333334,1.0
4,102989,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,1.0
4,102989,fixed_zero,M1_pls,0.0,0.0,0.0,1.0,1.0
4,110908,min_acer,B1_static2d,0.0,0.375,0.1875,0.875,0.7265625
4,110908,min_acer,M1_pls,0.4375,0.5,0.46875,0.5416666666666666,0.9140625
4,110908,min_acer_mid,B1_static2d,0.0,0.375,0.1875,0.875,0.7265625
4,110908,min_acer_mid,M1_pls,0.4375,0.5,0.46875,0.5416666666666666,0.9140625
4,110908,eer,B1_static2d,0.0,0.375,0.1875,0.875,0.7265625
4,110908,eer,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.9140625
4,110908,class_midpoint,B1_static2d,0.0,0.375,0.1875,0.875,0.7265625
4,110908,class_midpoint,M1_pls,0.0,0.625,0.3125,0.7916666666666666,0.9140625
4,110908,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.7265625
4,110908,fixed_zero,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.9140625
4,118827,min_acer,B1_static2d,0.125,0.125,0.125,0.875,0.8203125
4,118827,min_acer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,118827,min_acer_mid,B1_static2d,0.125,0.125,0.125,0.875,0.8203125
4,118827,min_acer_mid,M1_pls,0.0,0.0,0.0,1.0,1.0
4,118827,eer,B1_static2d,0.0625,0.125,0.09375,0.9166666666666666,0.8203125
4,118827,eer,M1_pls,0.0,0.0,0.0,1.0,1.0
4,118827,class_midpoint,B1_static2d,0.0625,0.375,0.21875,0.8333333333333334,0.8203125
4,118827,class_midpoint,M1_pls,0.0,0.375,0.1875,0.875,1.0
4,118827,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.8203125
4,118827,fixed_zero,M1_pls,0.0,0.0,0.0,1.0,1.0
4,126746,min_acer,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.875
4,126746,min_acer,M1_pls,0.4375,0.25,0.34375,0.625,0.8828125
4,126746,min_acer_mid,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.875
4,126746,min_acer_mid,M1_pls,0.4375,0.25,0.34375,0.625,0.8828125
4,126746,eer,B1_static2d,0.125,0.125,0.125,0.875,0.875
4,126746,eer,M1_pls,0.25,0.25,0.25,0.75,0.8828125
4,126746,class_midpoint,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.875
4,126746,class_midpoint,M1_pls,0.125,0.75,0.4375,0.6666666666666666,0.8828125
4,126746,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.875
4,126746,fixed_zero,M1_pls,0.25,0.25,0.25,0.75,0.8828125
4,134665,min_acer,B1_static2d,0.0,0.25,0.125,0.9166666666666666,0.875
4,134665,min_acer,M1_pls,0.5,0.375,0.4375,0.5416666666666666,0.9296875
4,134665,min_acer_mid,B1_static2d,0.0,0.25,0.125,0.9166666666666666,0.875
4,134665,min_acer_mid,M1_pls,0.5,0.375,0.4375,0.5416666666666666,0.9296875
4,134665,eer,B1_static2d,0.0,0.25,0.125,0.9166666666666666,0.875
4,134665,eer,M1_pls,0.125,0.25,0.1875,0.8333333333333334,0.9296875
4,134665,class_midpoint,B1_static2d,0.0,0.25,0.125,0.9166666666666666,0.875
4,134665,class_midpoint,M1_pls,0.0,0.625,0.3125,0.7916666666666666,0.9296875
4,134665,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.875
4,134665,fixed_zero,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.9296875
4,142584,min_acer,B1_static2d,0.0,0.0,0.0,1.0,1.0
4,142584,min_acer,M1_pls,0.1875,0.25,0.21875,0.7916666666666666,0.9375
4,142584,min_acer_mid,B1_static2d,0.0,0.0,0.0,1.0,1.0
4,142584,min_acer_mid,M1_pls,0.1875,0.25,0.21875,0.7916666666666666,0.9375
4,142584,eer,B1_static2d,0.0,0.0,0.0,1.0,1.0
4,142584,eer,M1_pls,0.1875,0.25,0.21875,0.7916666666666666,0.9375
4,142584,class_midpoint,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,1.0
4,142584,class_midpoint,M1_pls,0.0,0.75,0.375,0.75,0.9375
4,142584,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,1.0
4,142584,fixed_zero,M1_pls,0.125,0.25,0.1875,0.8333333333333334,0.9375
4,150503,min_acer,B1_static2d,0.25,0.25,0.25,0.75,0.8515625
4,150503,min_acer,M1_pls,0.4375,0.5,0.46875,0.5416666666666666,0.8984375
4,150503,min_acer_mid,B1_static2d,0.25,0.25,0.25,0.75,0.8515625
4,150503,min_acer_mid,M1_pls,0.4375,0.5,0.46875,0.5416666666666666,0.8984375
4,150503,eer,B1_static2d,0.1875,0.25,0.21875,0.7916666666666666,0.8515625
4,150503,eer,M1_pls,0.1875,0.25,0.21875,0.7916666666666666,0.8984375
4,150503,class_midpoint,B1_static2d,0.0,0.375,0.1875,0.875,0.8515625
4,150503,class_midpoint,M1_pls,0.0,0.625,0.3125,0.7916666666666666,0.8984375
4,150503,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.8515625
4,150503,fixed_zero,M1_pls,0.0625,0.25,0.15625,0.875,0.8984375
8,42,min_acer,B1_static2d,0.0625,0.1875,0.125,0.8958333333333334,0.884765625
8,42,min_acer,M1_pls,0.03125,0.25,0.140625,0.8958333333333334,0.958984375
8,42,min_acer_mid,B1_static2d,0.0625,0.1875,0.125,0.8958333333333334,0.884765625
8,42,min_acer_mid,M1_pls,0.03125,0.25,0.140625,0.8958333333333334,0.958984375
8,42,eer,B1_static2d,0.15625,0.125,0.140625,0.8541666666666666,0.884765625
8,42,eer,M1_pls,0.15625,0.125,0.140625,0.8541666666666666,0.958984375
8,42,class_midpoint,B1_static2d,0.09375,0.125,0.109375,0.8958333333333334,0.884765625
8,42,class_midpoint,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.958984375
8,42,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.884765625
8,42,fixed_zero,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.958984375
8,7961,min_acer,B1_static2d,0.03125,0.1875,0.109375,0.9166666666666666,0.859375
8,7961,min_acer,M1_pls,0.125,0.0,0.0625,0.9166666666666666,0.95703125
8,7961,min_acer_mid,B1_static2d,0.03125,0.1875,0.109375,0.9166666666666666,0.859375
8,7961,min_acer_mid,M1_pls,0.125,0.0,0.0625,0.9166666666666666,0.95703125
8,7961,eer,B1_static2d,0.0625,0.125,0.09375,0.9166666666666666,0.859375
8,7961,eer,M1_pls,0.125,0.0,0.0625,0.9166666666666666,0.95703125
8,7961,class_midpoint,B1_static2d,0.0,0.1875,0.09375,0.9375,0.859375
8,7961,class_midpoint,M1_pls,0.0,0.5625,0.28125,0.8125,0.95703125
8,7961,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.859375
8,7961,fixed_zero,M1_pls,0.0625,0.3125,0.1875,0.8541666666666666,0.95703125
8,15880,min_acer,B1_static2d,0.125,0.3125,0.21875,0.8125,0.802734375
8,15880,min_acer,M1_pls,0.0,0.0,0.0,1.0,1.0
8,15880,min_acer_mid,B1_static2d,0.125,0.3125,0.21875,0.8125,0.802734375
8,15880,min_acer_mid,M1_pls,0.0,0.0,0.0,1.0,1.0
8,15880,eer,B1_static2d,0.15625,0.1875,0.171875,0.8333333333333334,0.802734375
8,15880,eer,M1_pls,0.0,0.0,0.0,1.0,1.0
8,15880,class_midpoint,B1_static2d,0.03125,0.3125,0.171875,0.875,0.802734375
8,15880,class_midpoint,M1_pls,0.0,0.125,0.0625,0.9583333333333334,1.0
8,15880,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.802734375
8,15880,fixed_zero,M1_pls,0.0,0.0,0.0,1.0,1.0
8,23799,min_acer,B1_static2d,0.3125,0.375,0.34375,0.6666666666666666,0.763671875
8,23799,min_acer,M1_pls,0.03125,0.1875,0.109375,0.9166666666666666,0.962890625
8,23799,min_acer_mid,B1_static2d,0.3125,0.375,0.34375,0.6666666666666666,0.763671875
8,23799,min_acer_mid,M1_pls,0.03125,0.1875,0.109375,0.9166666666666666,0.962890625
8,23799,eer,B1_static2d,0.25,0.375,0.3125,0.7083333333333334,0.763671875
8,23799,eer,M1_pls,0.125,0.125,0.125,0.875,0.962890625
8,23799,class_midpoint,B1_static2d,0.21875,0.375,0.296875,0.7291666666666666,0.763671875
8,23799,class_midpoint,M1_pls,0.0,0.3125,0.15625,0.8958333333333334,0.962890625
8,23799,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.763671875
8,23799,fixed_zero,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.962890625
8,31718,min_acer,B1_static2d,0.0625,0.25,0.15625,0.875,0.861328125
8,31718,min_acer,M1_pls,0.09375,0.0625,0.078125,0.9166666666666666,0.994140625
8,31718,min_acer_mid,B1_static2d,0.0625,0.25,0.15625,0.875,0.861328125
8,31718,min_acer_mid,M1_pls,0.09375,0.0625,0.078125,0.9166666666666666,0.994140625
8,31718,eer,B1_static2d,0.15625,0.25,0.203125,0.8125,0.861328125
8,31718,eer,M1_pls,0.09375,0.0625,0.078125,0.9166666666666666,0.994140625
8,31718,class_midpoint,B1_static2d,0.09375,0.25,0.171875,0.8541666666666666,0.861328125
8,31718,class_midpoint,M1_pls,0.0,0.1875,0.09375,0.9375,0.994140625
8,31718,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.861328125
8,31718,fixed_zero,M1_pls,0.0,0.0625,0.03125,0.9791666666666666,0.994140625
8,39637,min_acer,B1_static2d,0.0,0.0,0.0,1.0,1.0
8,39637,min_acer,M1_pls,0.15625,0.25,0.203125,0.8125,0.95703125
8,39637,min_acer_mid,B1_static2d,0.0,0.0,0.0,1.0,1.0
8,39637,min_acer_mid,M1_pls,0.15625,0.25,0.203125,0.8125,0.95703125
8,39637,eer,B1_static2d,0.0,0.0,0.0,1.0,1.0
8,39637,eer,M1_pls,0.15625,0.125,0.140625,0.8541666666666666,0.95703125
8,39637,class_midpoint,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,1.0
8,39637,class_midpoint,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.95703125
8,39637,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,1.0
8,39637,fixed_zero,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.95703125
8,47556,min_acer,B1_static2d,0.03125,0.1875,0.109375,0.9166666666666666,0.873046875
8,47556,min_acer,M1_pls,0.125,0.0625,0.09375,0.8958333333333334,0.9921875
8,47556,min_acer_mid,B1_static2d,0.03125,0.1875,0.109375,0.9166666666666666,0.873046875
8,47556,min_acer_mid,M1_pls,0.125,0.0625,0.09375,0.8958333333333334,0.9921875
8,47556,eer,B1_static2d,0.09375,0.125,0.109375,0.8958333333333334,0.873046875
8,47556,eer,M1_pls,0.125,0.0625,0.09375,0.8958333333333334,0.9921875
8,47556,class_midpoint,B1_static2d,0.03125,0.125,0.078125,0.9375,0.873046875
8,47556,class_midpoint,M1_pls,0.0625,0.0625,0.0625,0.9375,0.9921875
8,47556,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.873046875
8,47556,fixed_zero,M1_pls,0.09375,0.0625,0.078125,0.9166666666666666,0.9921875
8,55475,min_acer,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.939453125
8,55475,min_acer,M1_pls,0.0625,0.125,0.09375,0.9166666666666666,0.97265625
8,55475,min_acer_mid,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.939453125
8,55475,min_acer_mid,M1_pls,0.0625,0.125,0.09375,0.9166666666666666,0.97265625
8,55475,eer,B1_static2d,0.09375,0.125,0.109375,0.8958333333333334,0.939453125
8,55475,eer,M1_pls,0.125,0.125,0.125,0.875,0.97265625
8,55475,class_midpoint,B1_static2d,0.0,0.125,0.0625,0.9583333333333334,0.939453125
8,55475,class_midpoint,M1_pls,0.0,0.25,0.125,0.9166666666666666,0.97265625
8,55475,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.939453125
8,55475,fixed_zero,M1_pls,0.0,0.125,0.0625,0.9583333333333334,0.97265625
8,63394,min_acer,B1_static2d,0.03125,0.25,0.140625,0.8958333333333334,0.826171875
8,63394,min_acer,M1_pls,0.0625,0.125,0.09375,0.9166666666666666,1.0
8,63394,min_acer_mid,B1_static2d,0.03125,0.25,0.140625,0.8958333333333334,0.826171875
8,63394,min_acer_mid,M1_pls,0.0625,0.125,0.09375,0.9166666666666666,1.0
8,63394,eer,B1_static2d,0.25,0.25,0.25,0.75,0.826171875
8,63394,eer,M1_pls,0.0625,0.125,0.09375,0.9166666666666666,1.0
8,63394,class_midpoint,B1_static2d,0.125,0.25,0.1875,0.8333333333333334,0.826171875
8,63394,class_midpoint,M1_pls,0.0,0.125,0.0625,0.9583333333333334,1.0
8,63394,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.826171875
8,63394,fixed_zero,M1_pls,0.0,0.0625,0.03125,0.9791666666666666,1.0
8,71313,min_acer,B1_static2d,0.0,0.0625,0.03125,0.9791666666666666,0.9375
8,71313,min_acer,M1_pls,0.09375,0.0625,0.078125,0.9166666666666666,0.97265625
8,71313,min_acer_mid,B1_static2d,0.0,0.0625,0.03125,0.9791666666666666,0.9375
8,71313,min_acer_mid,M1_pls,0.09375,0.0625,0.078125,0.9166666666666666,0.97265625
8,71313,eer,B1_static2d,0.0,0.0625,0.03125,0.9791666666666666,0.9375
8,71313,eer,M1_pls,0.09375,0.125,0.109375,0.8958333333333334,0.97265625
8,71313,class_midpoint,B1_static2d,0.0,0.0625,0.03125,0.9791666666666666,0.9375
8,71313,class_midpoint,M1_pls,0.03125,0.375,0.203125,0.8541666666666666,0.97265625
8,71313,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.9375
8,71313,fixed_zero,M1_pls,0.09375,0.125,0.109375,0.8958333333333334,0.97265625
8,79232,min_acer,B1_static2d,0.09375,0.125,0.109375,0.8958333333333334,0.880859375
8,79232,min_acer,M1_pls,0.28125,0.375,0.328125,0.6875,0.93359375
8,79232,min_acer_mid,B1_static2d,0.09375,0.125,0.109375,0.8958333333333334,0.880859375
8,79232,min_acer_mid,M1_pls,0.28125,0.375,0.328125,0.6875,0.93359375
8,79232,eer,B1_static2d,0.1875,0.125,0.15625,0.8333333333333334,0.880859375
8,79232,eer,M1_pls,0.21875,0.1875,0.203125,0.7916666666666666,0.93359375
8,79232,class_midpoint,B1_static2d,0.0625,0.1875,0.125,0.8958333333333334,0.880859375
8,79232,class_midpoint,M1_pls,0.0,0.4375,0.21875,0.8541666666666666,0.93359375
8,79232,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.880859375
8,79232,fixed_zero,M1_pls,0.0625,0.3125,0.1875,0.8541666666666666,0.93359375
8,87151,min_acer,B1_static2d,0.03125,0.1875,0.109375,0.9166666666666666,0.82421875
8,87151,min_acer,M1_pls,0.3125,0.3125,0.3125,0.6875,0.92578125
8,87151,min_acer_mid,B1_static2d,0.03125,0.1875,0.109375,0.9166666666666666,0.82421875
8,87151,min_acer_mid,M1_pls,0.3125,0.3125,0.3125,0.6875,0.92578125
8,87151,eer,B1_static2d,0.15625,0.1875,0.171875,0.8333333333333334,0.82421875
8,87151,eer,M1_pls,0.21875,0.1875,0.203125,0.7916666666666666,0.92578125
8,87151,class_midpoint,B1_static2d,0.0625,0.1875,0.125,0.8958333333333334,0.82421875
8,87151,class_midpoint,M1_pls,0.0,0.5625,0.28125,0.8125,0.92578125
8,87151,fixed_zero,B1_static2d,1.0,0.0,0.5,0.3333333333333333,0.82421875
8,87151,fixed_zero,M1_pls,0.09375,0.3125,0.203125,0.8333333333333334,0.92578125
8,95070,min_acer,B1_static2d,0.09375,0.1875,0.140625,0.875,0.869140625
8,95070,min_acer,M1_pls,0.09375,0.25,0.171875,0.8541666666666666,0.94140625
8,95070,min_acer_mid,B1_static2d,0.09375,0.1875,0.140625,0.875,0.869140625
8,95070,min_acer_mid,M1_pls,0.09375,0.25,0.171875,0.8541666666666666,0.94140625
